	MaxGSet	ModAnode	OpsGSetMax	PhaseRMS	Q0	QExternal	TripOffset	TripSlope
2L24-2	21.7		14.0	0.1	6730000000.0	18500000.0		
2L24-3	22.75		17.0	0.1	7150000000.0	31400000.0		
2L24-4	20.73		17.0	0.1	5690000000.0	23400000.0		
2L24-5	22.05		20.0	0.1	7070000000.0	26100000.0		
2L24-6	25.0		21.0	0.1	4130000000.0	26100000.0		
2L24-7	21.75		8.0	0.1	6290000000.0	25800000.0		
2L24-8	21.15		9.0	0.1	5120000000.0	23900000.0		
2L25-1	25.0		17.0	0.1	10000000000.0	28900000.0		
2L25-2	22.63		17.0	0.1	8190000000.0	28000000.0		
2L25-3	21.7		14.0	0.1	7530000000.0	33200000.0		
2L25-4	19.95		17.0	0.1	6370000000.0	26000000.0		
2L25-5	22.05		15.0	0.1	7780000000.0	30100000.0		
2L25-6	22.38		15.0	0.1	8010000000.0	30500000.0		
2L25-7	19.85		10.53	0.1	6300000000.0	42000000.0		
2L25-8	19.55		11.5	0.1	6120000000.0	35000000.0		
2L26-1	21.78		16.0	0.1	7590000000.0	40100000.0		
2L26-2	25.0		14.0	0.1	11300000000.0	26200000.0		
2L26-3	22.68		14.0	0.1	7080000000.0	27100000.0		
2L26-4	21.15		16.0	0.1	7160000000.0	29300000.0		
2L26-5	21.83		16.5	0.1	7430000000.0	26400000.0		
2L26-6	25.0		17.0	0.1	8100000000.0	28900000.0		
2L26-7	22.45		16.0	0.1	8060000000.0	25800000.0		
2L26-8	21.83		14.0	0.1	5410000000.0	30000000.0		
